high arousal,low arousal,medium arousal,medium dominance,low dominance,high dominance,high valence,low valence,medium valence,examples,hedges,self references
,,availability,slug,,,,,gall,,,
,,avert,slur,,,,,gallbladder,,,
,,aviation,sly,,,,,galley,,,
,,avid,smoker,,,,,gallon,,,
,,avocado,smoky,,,,,gallop,,,
,,avoid,smug,,,,,galore,,,
,,awaken,smuggler,,,,,gamble,,,
,,awed,sneer,,,,,gambler,,,
,,awkwardness,snob,,,,,gaming,,,
,,axis,snooty,,,,,gamma,,,
,,babble,snot,,,,,gander,,,
,,babysit,snuff,,,,,gangway,,,
,,Bacardi,solicit,,,,,gap,,,
,,bachelor,spew,,,,,gaping,,,
,,bachelorette,spic,,,,,garage,,,
,,backboard,spill,,,,,garbled,,,
,,backbone,spinal,,,,,gargle,,,
,,backdoor,spit,,,,,gargoyle,,,
,,backer,spiteful,,,,,garlic,,,
,,background,spittoon,,,,,garment,,,
,,backpack,splinter,,,,,garnet,,,
,,backroom,spoils,,,,,garnish,,,
,,backseat,squander,,,,,garrison,,,
,,backside,squish,,,,,garter,,,
,,backup,stagnant,,,,,gas,,,
,,backwater,stain,,,,,gash,,,
,,backyard,standoff,,,,,gasket,,,
,,badge,starving,,,,,gasoline,,,
,,badger,stealing,,,,,gasp,,,
,,bag,stickler,,,,,gastric,,,
,,bagel,stingy,,,,,gate,,,
,,baggage,stink,,,,,gatekeeper,,,
,,baggie,stinky,,,,,gateway,,,
,,baggy,stockade,,,,,gather,,,
,,bail,stretcher,,,,,gator,,,
,,bailiff,strict,,,,,gatorade,,,
,,bait,strikeout,,,,,Gatorade,,,
,,balcony,stubborn,,,,,gauge,,,
,,ball,stubbornness,,,,,gauntlet,,,
,,ballad,stuffy,,,,,gauze,,,
,,ballast,stupidity,,,,,gavel,,,
,,ballistic,stutter,,,,,gay,,,
,,ballot,subservient,,,,,gaze,,,
,,ballpark,sullen,,,,,gazette,,,
,,ballplayer,suppress,,,,,gazillion,,,
,,ballroom,supremacy,,,,,gear,,,
,,balm,surveillance,,,,,geek,,,
,,balmy,swine,,,,,geeky,,,
,,bam,symptom,,,,,geisha,,,
,,bandstand,syringe,,,,,gel,,,
,,bandwagon,tacky,,,,,gelatin,,,
,,bandwidth,taint,,,,,gelding,,,
,,bane,takeover,,,,,gender,,,
,,banger,tampon,,,,,genealogy,,,
,,banish,tardiness,,,,,general,,,
,,bank,tardy,,,,,generate,,,
,,banker,tasteless,,,,,generation,,,
,,banking,tattler,,,,,generator,,,
,,bankroll,tear,,,,,generic,,,
,,banner,tension,,,,,genetic,,,
,,banquet,testy,,,,,genetics,,,
,,banter,thankless,,,,,genie,,,
,,banzai,thrash,,,,,genital,,,
,,baptize,toxicology,,,,,genitalia,,,
,,bar,traitor,,,,,genome,,,
,,barbie doll,trample,,,,,genre,,,
,,bare,transsexual,,,,,gent,,,
,,bargaining,trespass,,,,,genteel,,,
,,baritone,troublesome,,,,,gentile,,,
,,bark,tuberculosis,,,,,gentry,,,
,,barkeep,tuition,,,,,geographic,,,
,,barley,turnoff,,,,,geographical,,,
,,barmaid,unannounced,,,,,geography,,,
,,barman,unarmed,,,,,geology,,,
,,barn,unbecoming,,,,,geometric,,,
,,barnacle,undermine,,,,,geometry,,,
,,baron,undignified,,,,,gerbil,,,
,,baroness,uneducated,,,,,gesture,,,
,,barrage,unending,,,,,get,,,
,,barrel,unethical,,,,,getaway,,,
,,barren,unfeeling,,,,,getup,,,
,,barricade,unforgiving,,,,,ghost,,,
,,barrier,unfriendly,,,,,ghostly,,,
,,barroom,ungrateful,,,,,GI Joe,,,
,,bartender,unhealthy,,,,,giant,,,
,,barter,unkind,,,,,gibberish,,,
,,baseball bat,unlawful,,,,,giddy,,,
,,baseman,unrelenting,,,,,gigantic,,,
,,basement,unruly,,,,,gigolo,,,
,,bashful,unsympathetic,,,,,gilded,,,
,,basketball,untidy,,,,,gimmick,,,
,,bass,untimely,,,,,gin,,,
,,bass guitar,untrue,,,,,ginger,,,
,,bat,unwilling,,,,,ginseng,,,
,,bathhouse,upset,,,,,girder,,,
,,bathtub,uptight,,,,,girdle,,,
,,baton,urination,,,,,girlie,,,
,,battalion,urine,,,,,girlish,,,
,,batter,useless,,,,,girly,,,
,,battery,vanishing,,,,,girth,,,
,,battleship,vindictive,,,,,gist,,,
,,batty,vulture,,,,,giveaway,,,
,,bauble,wannabe,,,,,gizmo,,,
,,bayonet,warden,,,,,gizzard,,,
,,bayou,waste,,,,,glacier,,,
,,be,wasteland,,,,,glade,,,
,,beacon,weak,,,,,gladiator,,,
,,bead,weasel,,,,,glamour,,,
,,beady,welfare,,,,,glance,,,
,,beaker,whine,,,,,gland,,,
,,beam,whiny,,,,,glass,,,
,,beanie,whip,,,,,glaze,,,
,,bear,windbag,,,,,gleam,,,
,,bearable,withhold,,,,,gleaming,,,
,,bearer,withholding,,,,,glide,,,
,,bearskin,womanizer,,,,,glider,,,
,,beatnik,workaholic,,,,,glimpse,,,
,,beaver,wreck,,,,,glitch,,,
,,bebop,wretch,,,,,glitter,,,
,,become,wrinkled,,,,,global,,,
,,bedding,wrongdoing,,,,,globe,,,
,,beef,yell,,,,,glorified,,,
,,beefsteak,yucky,,,,,gloss,,,
,,beep,zit,,,,,glossy,,,
,,beer,absolution,,,,,glove,,,
,,beeswax,abundance,,,,,gloves,,,
,,beetle,abundant,,,,,glue,,,
,,befall,accent,,,,,gnome,,,
,,beginner,accommodation,,,,,go,,,
,,begrudge,acoustic,,,,,goalie,,,
,,behave,admirable,,,,,goat,,,
,,behavior,adopt,,,,,goatee,,,
,,behavioral,adoption,,,,,gobble,,,
,,belay,african,,,,,god,,,
,,belch,afternoon,,,,,goddamn,,,
,,belief,allowance,,,,,godfather,,,
,,believer,allure,,,,,godlike,,,
,,bell,alluring,,,,,godson,,,
,,bellhop,amaze,,,,,goggle,,,
,,bellow,ambience,,,,,goggles,,,
,,belly,amends,,,,,golf,,,
,,bellybutton,amused,,,,,golfer,,,
,,belongings,ancestor,,,,,golfing,,,
,,belt,ancestral,,,,,gondola,,,
,,beluga,ancient,,,,,goo,,,
,,bench,angel,,,,,goober,,,
,,bend,animal,,,,,goodie,,,
,,beneficiary,antique,,,,,gooey,,,
,,benevolence,antiques,,,,,goof,,,
,,benevolent,apologetic,,,,,goofball,,,
,,benzene,applaud,,,,,goop,,,
,,bequeath,aqua,,,,,goose,,,
,,beret,aquamarine,,,,,gopher,,,
,,beryllium,aquatic,,,,,gorge,,,
,,beseech,archangel,,,,,gorilla,,,
,,bet,aroma,,,,,gospel,,,
,,beta,art,,,,,gothic,,,
,,bewildered,aspen,,,,,goulash,,,
,,bias,asset,,,,,gourd,,,
,,bib,astronaut,,,,,govern,,,
,,bible,astronomical,,,,,governess,,,
,,bicarbonate,athletic,,,,,governor,,,
,,bicentennial,audio,,,,,Governor,,,
,,biceps,aura,,,,,gown,,,
,,bid,awe,,,,,grab,,,
,,bidder,baby,,,,,grade,,,
,,bidding,babysitter,,,,,grader,,,
,,bide,bacon,,,,,gradual,,,
,,big,bakery,,,,,graffiti,,,
,,biggie,balance,,,,,grail,,,
,,bighorn,ballerina,,,,,grain,,,
,,bike,ballet,,,,,gram,,,
,,biker,ballgame,,,,,grammar,,,
,,bilge,balloon,,,,,grand,,,
,,billboard,band,,,,,grand theft auto,,,
,,billiard,banjo,,,,,grandfather,,,
,,bind,baptism,,,,,grandiose,,,
,,binding,basil,,,,,grandson,,,
,,bingo,bathrobe,,,,,grandstand,,,
,,biochemical,beach,,,,,granite,,,
,,biochemist,beauty,,,,,granny,,,
,,biochemistry,believable,,,,,granola,,,
,,biology,biblical,,,,,grapefruit,,,
,,birdcage,biological,,,,,grapevine,,,
,,birdman,bird,,,,,graph,,,
,,birthright,birdie,,,,,graphic,,,
,,bisexual,birthday,,,,,graphite,,,
,,bishop,birthplace,,,,,grappling,,,
,,bistro,blessed,,,,,grasp,,,
,,bit,blessing,,,,,grasshopper,,,
,,bittersweet,blissful,,,,,grassy,,,
,,bitty,bloom,,,,,grate,,,
,,biz,blossom,,,,,gravel,,,
,,bizarre,blue,,,,,gravitational,,,
,,black,bluebird,,,,,gravity,,,
,,blackbird,bluejay,,,,,gravy,,,
,,blackboard,blush,,,,,graze,,,
,,blacken,boat,,,,,grease,,,
,,blackjack,boating,,,,,greased,,,
,,blackness,bonbon,,,,,greaser,,,
,,bladder,bonfire,,,,,great grandma,,,
,,blade,bonsai,,,,,great uncle,,,
,,blameless,bosom,,,,,green,,,
,,blare,bouncy,,,,,green bean,,,
,,blase,bouquet,,,,,green pepper,,,
,,blast,bowling,,,,,green snake,,,
,,blaster,boyfriend,,,,,greet,,,
,,blazer,bracelet,,,,,greeting,,,
,,bleep,bread,,,,,greyhound,,,
,,blend,bride,,,,,grid,,,
,,blender,brightness,,,,,grind,,,
,,bleu,brook,,,,,grinder,,,
,,blimp,brunch,,,,,grindstone,,,
,,blindfold,brunette,,,,,gringo,,,
,,blip,bubble,,,,,grip,,,
,,blistering,bubbly,,,,,grit,,,
,,blob,buck,,,,,grits,,,
,,block,bungalow,,,,,gritty,,,
,,blockhead,bunny,,,,,grizzly,,,
,,blog,burger,,,,,groan,,,
,,bloke,burrito,,,,,grocer,,,
,,bloodhound,butter,,,,,groggy,,,
,,bloodline,butterscotch,,,,,groin,,,
,,bloodstream,camcorder,,,,,groove,,,
,,bloomers,camp,,,,,grope,,,
,,blotter,campfire,,,,,grotto,,,
,,blow,campsite,,,,,ground,,,
,,blowfish,campus,,,,,groundhog,,,
,,blowout,canary,,,,,grounding,,,
,,blubber,caramel,,,,,groundwork,,,
,,bluegrass,carousel,,,,,group,,,
,,blueprint,cartoon,,,,,groupie,,,
,,bluff,cashmere,,,,,grouping,,,
,,blunder,cat,,,,,grove,,,
,,blunt,celestial,,,,,grow,,,
,,blur,ceremony,,,,,growl,,,
,,blurt,certainty,,,,,grownup,,,
,,boa constrictor,champion,,,,,growth,,,
,,board,chandelier,,,,,grub,,,
,,board game,charmer,,,,,gruff,,,
,,boarder,check,,,,,grunting,,,
,,boardroom,cherry,,,,,guacamole,,,
,,boast,chic,,,,,guano,,,
,,boathouse,childhood,,,,,guarantee,,,
,,boatload,children,,,,,guard,,,
,,boatman,chimpanzee,,,,,guardhouse,,,
,,bobcat,chipmunk,,,,,guardianship,,,
,,bobsled,chivalry,,,,,guerrilla,,,
,,bode,cinnamon,,,,,guess,,,
,,bodega,clean,,,,,guesser,,,
,,bodily,clearance,,,,,guesswork,,,
,,body,club,,,,,guest,,,
,,bodyguard,clubhouse,,,,,guesthouse,,,
,,bogeyman,coastline,,,,,guidance,,,
,,bohemian,coconut,,,,,guide,,,
,,bollocks,coffee,,,,,guidebook,,,
,,bolt,coffeehouse,,,,,guiding,,,
,,bombardier,coke,,,,,guild,,,
,,bonanza,Coke,,,,,guinea,,,
,,bone,college,,,,,guise,,,
,,bonehead,collie,,,,,guitarist,,,
,,bong,colored,,,,,gull,,,
,,bonkers,colorful,,,,,gullet,,,
,,bony,comet,,,,,gullible,,,
,,boogie,comforter,,,,,gully,,,
,,bookcase,comic,,,,,gulp,,,
,,bookie,comical,,,,,gum,,,
,,bookkeeper,comics,,,,,gumbo,,,
,,bookkeeping,companion,,,,,gummy,,,
,,booklet,companionship,,,,,gumption,,,
,,boomer,composer,,,,,gunfighter,,,
,,boomerang,comprehensive,,,,,gunner,,,
,,boon,computerized,,,,,gunnery,,,
,,booster,comrade,,,,,gunpowder,,,
,,boot,condo,,,,,gunslinger,,,
,,booth,congrats,,,,,guru,,,
,,bootlegger,connect,,,,,gush,,,
,,boots,console,,,,,gusher,,,
,,booze,convenience,,,,,gust,,,
,,bop,convenient,,,,,gusto,,,
,,border,cookbook,,,,,gut,,,
,,borderline,cookie,,,,,gutless,,,
,,borough,cordless,,,,,gutsy,,,
,,borrow,cornbread,,,,,gutter,,,
,,boss,correspondence,,,,,guzzler,,,
,,bother,couple,,,,,gym,,,
,,bottle,courtesy,,,,,gymnasium,,,
,,bottleneck,cranberry,,,,,gymnast,,,
,,bottling,cream,,,,,gymnastics,,,
,,bottomless,creator,,,,,habit,,,
,,bounce,credibility,,,,,habitat,,,
,,bouncer,credible,,,,,habitual,,,
,,boundary,crepe,,,,,hacienda,,,
,,bountiful,crib,,,,,hack,,,
,,bounty,croissant,,,,,hacker,,,
,,bout,crossword,,,,,hacksaw,,,
,,boutique,cruise,,,,,haggle,,,
,,bovine,cruise ship,,,,,haiku,,,
,,bow,cuisine,,,,,hail,,,
,,bowler,cultural,,,,,hair,,,
,,boxcar,cupcake,,,,,hairbrush,,,
,,boxer,cure,,,,,hairdo,,,
,,boxers,curtsy,,,,,hairdresser,,,
,,boy,cute,,,,,hairdryer,,,
,,boycott,cutie,,,,,hairless,,,
,,boyhood,dad,,,,,hairline,,,
,,boyish,daddy,,,,,hairpin,,,
,,bozo,daisy,,,,,hairspray,,,
,,bra,dancer,,,,,hairstyle,,,
,,brace,dandy,,,,,hairy,,,
,,brag,darling,,,,,half dollar,,,
,,braid,dashing,,,,,halfback,,,
,,brain,date,,,,,halftime,,,
,,brainy,daughter,,,,,halibut,,,
,,brake,day,,,,,hall,,,
,,brandy,daybreak,,,,,hallmark,,,
,,brash,daylight,,,,,hallowed,,,
,,brass,daytime,,,,,hallucination,,,
,,brassiere,dazzle,,,,,hallway,,,
,,bravado,decisive,,,,,halt,,,
,,brawn,dedicate,,,,,halter,,,
,,breadth,deer,,,,,ham,,,
,,break,delicacy,,,,,hammer,,,
,,breakaway,delicious,,,,,hammerhead,,,
,,breaker,design,,,,,hamper,,,
,,breed,destiny,,,,,hamster,,,
,,breeder,dine,,,,,hand,,,
,,breeding,dinner,,,,,handbag,,,
,,breezy,distinguished,,,,,handball,,,
,,brethren,doggy,,,,,handbook,,,
,,brew,doughnut,,,,,handful,,,
,,brewery,Dr. Pepper,,,,,handgun,,,
,,briar,dragonfly,,,,,handheld,,,
,,bridal,dream,,,,,handkerchief,,,
,,bridegroom,dreamboat,,,,,handle,,,
,,bridesmaid,dreamland,,,,,handler,,,
,,bridge,drive,,,,,handout,,,
,,brief,drummer,,,,,handprint,,,
,,briefcase,duckling,,,,,handshake,,,
,,briefing,ducky,,,,,handwriting,,,
,,brigade,duo,,,,,handy,,,
,,brim,eagle,,,,,handyman,,,
,,bring,earring,,,,,hangar,,,
,,brink,earth,,,,,hanger,,,
,,brisket,ecosystem,,,,,hangman,,,
,,brittle,educational,,,,,hankering,,,
,,bro,educator,,,,,hanky,,,
,,broadcast,elaborate,,,,,happen,,,
,,broadcasting,electronic,,,,,harbor,,,
,,broadsword,electronics,,,,,hard,,,
,,brochure,elegant,,,,,hardball,,,
,,broker,elevate,,,,,hardcore,,,
,,brokerage,eligible,,,,,harden,,,
,,bronco,emancipation,,,,,hardened,,,
,,bronze,emotion,,,,,hardware,,,
,,brooch,empathy,,,,,hardwood,,,
,,broom,enchilada,,,,,harebrained,,,
,,broomstick,encore,,,,,harem,,,
,,brother,endeavor,,,,,hark,,,
,,brown,environment,,,,,harlot,,,
,,browse,epic,,,,,harmonica,,,
,,buckaroo,epiphany,,,,,harness,,,
,,buckle,equality,,,,,harp,,,
,,bucko,essence,,,,,harpoon,,,
,,budding,eternal,,,,,harrowing,,,
,,budge,everlasting,,,,,hash,,,
,,budget,expedition,,,,,haste,,,
,,Budweiser,exploration,,,,,hasten,,,
,,buff,eyeliner,,,,,hasty,,,
,,buffer,face,,,,,hat,,,
,,buffet,faith,,,,,hatch,,,
,,buggy,family,,,,,hatchet,,,
,,bugle,fan,,,,,haughty,,,
,,bugler,fascination,,,,,haul,,,
,,build,fashionable,,,,,haunt,,,
,,builder,father,,,,,have,,,
,,building,fatherhood,,,,,havoc,,,
,,buildup,feline,,,,,haw,,,
,,bulk,feminine,,,,,hay,,,
,,bulkhead,fest,,,,,haystack,,,
,,bulky,fiancee,,,,,haywire,,,
,,bull,fillet,,,,,haze,,,
,,bulldog,fine,,,,,hazy,,,
,,bulldozer,firefighter,,,,,head,,,
,,bullfighter,firefly,,,,,headband,,,
,,bullhorn,firelight,,,,,header,,,
,,bullion,fireman,,,,,headlight,,,
,,bullpen,fish,,,,,headline,,,
,,bumblebee,flowery,,,,,headliner,,,
,,bump,fluent,,,,,headmaster,,,
,,bumper,fluffy,,,,,headquarter,,,
,,bumpy,food,,,,,headquarters,,,
,,bundle,footwear,,,,,headset,,,
,,bunghole,forest,,,,,headstrong,,,
,,bunk,forevermore,,,,,headway,,,
,,bunker,fortuitous,,,,,heady,,,
,,bunkhouse,fortunate,,,,,healthcare,,,
,,bureau,fragrant,,,,,heap,,,
,,burner,frontier,,,,,hearsay,,,
,,burp,frosted,,,,,heartbeat,,,
,,burro,frosting,,,,,hearted,,,
,,burrow,fruit,,,,,hearth,,,
,,burst,fruit punch,,,,,heartland,,,
,,bus,fudge,,,,,heat,,,
,,busboy,fund,,,,,heating,,,
,,bushel,furry,,,,,heave,,,
,,bushy,fuzzy,,,,,heavy,,,
,,business,gallery,,,,,heavy metal,,,
,,businessman,game,,,,,heavyweight,,,
,,businesswoman,gazebo,,,,,heck,,,
,,busload,gazelle,,,,,hedge,,,
,,buster,gem,,,,,heed,,,
,,bustle,gentleman,,,,,heel,,,
,,busy,geological,,,,,hefty,,,
,,butcher,geologist,,,,,heifer,,,
,,button,girlfriend,,,,,height,,,
,,buyer,give,,,,,heir,,,
,,byline,glazed,,,,,heiress,,,
,,bypass,glimmer,,,,,heist,,,
,,byzantine,glow,,,,,helicopter,,,
,,cab,goddess,,,,,helipad,,,
,,cabana,godmother,,,,,heliport,,,
,,cabaret,godsend,,,,,helix,,,
,,cabbie,golden,,,,,helmet,,,
,,cabin,goofy,,,,,helmsman,,,
,,cabinet,grandchild,,,,,hem,,,
,,cable,granddaddy,,,,,hemisphere,,,
,,caboodle,granddaughter,,,,,hemlock,,,
,,cache,grandeur,,,,,hemoglobin,,,
,,cactus,grandpa,,,,,hemostat,,,
,,cadet,grape,,,,,hen,,,
,,cafeteria,graphics,,,,,henhouse,,,
,,cahoots,grass,,,,,herald,,,
,,calamari,great aunt,,,,,herbal,,,
,,calculation,great grandfather,,,,,herbs,,,
,,calculator,great grandmother,,,,,herd,,,
,,calf,great grandpa,,,,,hereditary,,,
,,caliber,greenhouse,,,,,heresy,,,
,,calisthenics,grilled,,,,,hermit,,,
,,callback,groom,,,,,heroine,,,
,,caller,groovy,,,,,herring,,,
,,camaraderie,guitar,,,,,hertz,,,
,,cameo,guy,,,,,hesitate,,,
,,cameraman,hamburger,,,,,hetero,,,
,,camouflage,handiwork,,,,,hiatus,,,
,,campaign,harmless,,,,,hibernation,,,
,,camper,harmony,,,,,hiccup,,,
,,can opener,hawk,,,,,hickey,,,
,,canal,heal,,,,,hickory,,,
,,candid,healer,,,,,hide,,,
,,candle,health,,,,,hideaway,,,
,,candlestick,heart,,,,,hideout,,,
,,candor,heartfelt,,,,,hierarchy,,,
,,canine,heaven,,,,,hieroglyphics,,,
,,cannon,heightened,,,,,high,,,
,,cannonball,helium,,,,,high heels,,,
,,canoe,heritage,,,,,highball,,,
,,cantaloupe,hike,,,,,highland,,,
,,cantina,hippopotamus,,,,,highness,,,
,,canyon,holly,,,,,hightail,,,
,,capacity,hombres,,,,,highway,,,
,,caper,homecoming,,,,,hiking boot,,,
,,capitalize,hometown,,,,,hill,,,
,,capricious,homeward,,,,,hillside,,,
,,capsule,honeycomb,,,,,hilltop,,,
,,captain,horizon,,,,,hilly,,,
,,caravan,hotel,,,,,hilt,,,
,,carbon,human,,,,,hind,,,
,,carburetor,humanity,,,,,hinder,,,
,,cardinal,humankind,,,,,hindsight,,,
,,cardiologist,hummingbird,,,,,hinge,,,
,,cardiology,hundred,,,,,hint,,,
,,career,husband,,,,,hip,,,
,,caretaker,idea,,,,,hip hop,,,
,,carnation,idealist,,,,,hippie,,,
,,carnivorous,idealistic,,,,,hippo,,,
,,carp,imagery,,,,,historian,,,
,,carpal,importance,,,,,historic,,,
,,carpentry,impressive,,,,,history,,,
,,carrot,indispensable,,,,,hit,,,
,,carry,inexpensive,,,,,hitch,,,
,,cartilage,infant,,,,,hitchhike,,,
,,carton,infinity,,,,,hive,,,
,,carve,ingenuity,,,,,hoarse,,,
,,cascade,inherit,,,,,hoax,,,
,,case,inheritance,,,,,hobbit,,,
,,cashier,innocent,,,,,hobo,,,
,,cassette,inspiration,,,,,hock,,,
,,cast,inspirational,,,,,hockey,,,
,,castaway,intuition,,,,,hoe,,,
,,caste,island,,,,,hog,,,
,,catalogue,jasmine,,,,,hogwash,,,
,,catalyst,jazzy,,,,,hoist,,,
,,catamaran,jewel,,,,,hokey,,,
,,catch,juice,,,,,hold,,,
,,catchphrase,juicy,,,,,holder,,,
,,catchy,jukebox,,,,,hole,,,
,,cater,kangaroo,,,,,holiness,,,
,,caterer,keepsake,,,,,holistic,,,
,,catfish,kid,,,,,hollow,,,
,,cathedral,kool-aid,,,,,hologram,,,
,,cathouse,lady,,,,,holographic,,,
,,catnip,lady bug,,,,,holster,,,
,,catwalk,ladybug,,,,,holy,,,
,,cauldron,landscape,,,,,homage,,,
,,cause,lasagna,,,,,hombre,,,
,,cautious,lavender,,,,,homeboy,,,
,,cavalier,lavish,,,,,homeland,,,
,,cavalry,lean,,,,,homely,,,
,,cave,legacy,,,,,homeroom,,,
,,caveman,legit,,,,,homestead,,,
,,cavern,lemon,,,,,homey,,,
,,caviar,lemonade,,,,,homing,,,
,,caving,lifeguard,,,,,hominy,,,
,,cayenne,lifetime,,,,,homosexual,,,
,,cease,light,,,,,homosexuality,,,
,,celebrity,lightness,,,,,honcho,,,
,,cell,limber,,,,,hone,,,
,,cellist,lip,,,,,honk,,,
,,cello,lipstick,,,,,hooch,,,
,,cellophane,listen,,,,,hood,,,
,,cellular,literature,,,,,hoodlum,,,
,,censor,lobster,,,,,hoof,,,
,,census,lodge,,,,,hook,,,
,,cent,lollipop,,,,,hookup,,,
,,centerfold,longevity,,,,,hooky,,,
,,centerpiece,lore,,,,,hoop,,,
,,centipede,luck,,,,,hoopla,,,
,,central,lullaby,,,,,hoot,,,
,,ceramic,lunchbox,,,,,hooter,,,
,,cerebral,luncheon,,,,,hop,,,
,,ceremonial,lush,,,,,horde,,,
,,certifiable,luxury,,,,,horizontal,,,
,,certificate,lyric,,,,,hormonal,,,
,,certified,lyrical,,,,,hormone,,,
,,certify,lyrics,,,,,horn,,,
,,cervical,macarena,,,,,horned,,,
,,cervix,mademoiselle,,,,,horoscope,,,
,,chain,magnification,,,,,horse,,,
,,chairman,magnificent,,,,,horseback,,,
,,chalet,magnolia,,,,,horseman,,,
,,chalice,male,,,,,horsepower,,,
,,challenger,mama,,,,,horseradish,,,
,,chamber,mankind,,,,,horseshoe,,,
,,chambermaid,marriage,,,,,horsey,,,
,,chameleon,marshmallow,,,,,hose,,,
,,chance,masseuse,,,,,host,,,
,,chancellor,masterpiece,,,,,hostel,,,
,,change,maverick,,,,,hot,,,
,,chaplain,meat,,,,,hot sauce,,,
,,chapter,meatball,,,,,hotdog,,,
,,character,medley,,,,,hothead,,,
,,characteristic,memento,,,,,hotline,,,
,,charade,memorabilia,,,,,hotshot,,,
,,chardonnay,memories,,,,,hound,,,
,,charge,memory,,,,,hour,,,
,,charger,mend,,,,,hourglass,,,
,,chariot,mercy,,,,,hourly,,,
,,charlatan,merengue,,,,,houseboat,,,
,,charred,meringue,,,,,houseboy,,,
,,charter,milkshake,,,,,housebroken,,,
,,chaser,mind,,,,,houseguest,,,
,,chassis,minx,,,,,housekeeper,,,
,,chaste,mocha,,,,,housekeeping,,,
,,chastity,mockingbird,,,,,housewarming,,,
,,chat,momentous,,,,,housewife,,,
,,chateau,momma,,,,,housework,,,
,,chatter,mommy,,,,,housing,,,
,,chatterbox,monogamy,,,,,hovel,,,
,,chatty,moon,,,,,hover,,,
,,chauffeur,moonbeam,,,,,hovercraft,,,
,,cheap,moonlit,,,,,howl,,,
,,checkbook,moose,,,,,hub,,,
,,checker,mother,,,,,hubby,,,
,,checkered,motherly,,,,,huddle,,,
,,checkmate,mountaintop,,,,,hue,,,
,,checkout,movement,,,,,huff,,,
,,checkpoint,movie,,,,,huffy,,,
,,checkup,multimedia,,,,,huge,,,
,,cheek,mural,,,,,hulk,,,
,,cheerleading,museum,,,,,hull,,,
,,cheesy,mystical,,,,,humanoid,,,
,,chemical,nacho,,,,,humbug,,,
,,chemist,nap,,,,,humdrum,,,
,,chemistry,natural,,,,,humidity,,,
,,chest,nature,,,,,humility,,,
,,chestnut,neat,,,,,hummer,,,
,,chew,nebula,,,,,humongous,,,
,,chewy,necklace,,,,,hump,,,
,,chick,nectar,,,,,humpback,,,
,,chiffon,neon,,,,,hunch,,,
,,childish,nephew,,,,,hunk,,,
,,chili,neutron,,,,,hunky,,,
,,chilly,newborn,,,,,hunt,,,
,,chime,niece,,,,,hunting,,,
,,chimp,night,,,,,huntress,,,
,,chin,nightie,,,,,hurdle,,,
,,chinchilla,nobleman,,,,,hurry,,,
,,chipper,nonviolent,,,,,hushed,,,
,,chiropractor,nostalgia,,,,,husk,,,
,,chirp,nostalgic,,,,,husky,,,
,,chisel,nursing,,,,,hussy,,,
,,chiseler,nutritional,,,,,hustle,,,
,,chitchat,oasis,,,,,hustler,,,
,,chloride,observant,,,,,hut,,,
,,chlorine,occasion,,,,,hyacinth,,,
,,choose,ocean,,,,,hybrid,,,
,,choosy,oceanic,,,,,hydrant,,,
,,chop,openness,,,,,hydrate,,,
,,chopper,orange,,,,,hydraulic,,,
,,choppers,orange juice,,,,,hydraulics,,,
,,chore,orchestra,,,,,hydrogen,,,
,,choreographer,orchid,,,,,hydroponics,,,
,,chorus,ornament,,,,,hyena,,,
,,chow,otter,,,,,hygienic,,,
,,chowder,outdoor,,,,,hygienist,,,
,,christening,oxygen,,,,,hymen,,,
,,chrome,painless,,,,,hymn,,,
,,chronic,pancake,,,,,hype,,,
,,chronicle,panda,,,,,hyper,,,
,,chubby,papaya,,,,,hyperactive,,,
,,chuck,paperback,,,,,hyperspace,,,
,,chum,paprika,,,,,hypnosis,,,
,,chummy,parade,,,,,hypnotic,,,
,,chump,parakeet,,,,,hypnotist,,,
,,chunk,parent,,,,,hypnotize,,,
,,chunky,parmesan,,,,,hypothalamus,,,
,,church,parrot,,,,,hypothesis,,,
,,churn,partner,,,,,hypothetical,,,
,,chutney,pasta,,,,,hysteria,,,
,,cider,pastrami,,,,,hysterical,,,
,,cigar,pastry,,,,,ibuprofen,,,
,,cinder,peach,,,,,ice,,,
,,cinematic,peachy,,,,,iceberg,,,
,,cinematography,peanut,,,,,icebox,,,
,,cipher,pear,,,,,icebreaker,,,
,,circle,pearly,,,,,iced,,,
,,circuit,pecan,,,,,icing,,,
,,circuitry,pediatrician,,,,,icon,,,
,,circular,penguin,,,,,icy,,,
,,circulate,peppermint,,,,,id,,,
,,circulation,percussion,,,,,idealism,,,
,,circulatory,perfecto,,,,,identical,,,
,,circumcision,perfume,,,,,identification,,,
,,circumstance,pet,,,,,identify,,,
,,circumstantial,petal,,,,,identity,,,
,,circumvent,phenomenon,,,,,ideology,,,
,,cirque,philanthropist,,,,,idle,,,
,,citadel,photo,,,,,idol,,,
,,cite,photogenic,,,,,idyllic,,,
,,city,photograph,,,,,iffy,,,
,,citywide,photographer,,,,,ignite,,,
,,civic,photographic,,,,,ignition,,,
,,civics,pianist,,,,,iguana,,,
,,civilian,piano,,,,,illusion,,,
,,civilization,piazza,,,,,illustrate,,,
,,claim,pickle,,,,,illustrious,,,
,,clam,picnic,,,,,image,,,
,,clambake,picturesque,,,,,imaginary,,,
,,clamp,pineapple,,,,,imaging,,,
,,clan,pixie,,,,,imbalance,,,
,,clandestine,pizza,,,,,imitate,,,
